ID,Job_ID,Titel,Yrke,Beskrivning,Ort,Arbetsgivare
recC3n9PcYBIOj2Gk,24381502,Veterinär till Distriktsveterinärerna i Västernorrland,Veterinär,Veterinär till Distriktsveterinärerna i Västernorrland,"Jordbruksverket, Distriktsveterinärerna Region Nord",Statens Jordbruksverk
recC8pzM3NwGTdLD2,24417459,"Undersköterska sommarvikariat Kardiologen avd 16 och GNR avd 17, Sollefteå","Undersköterska, vård- o specialavd. o mottagning","Undersköterska sommarvikariat Kardiologen avd 16 och GNR avd 17, Sollefteå",Region Västernorrland,REGION VÄSTERNORRLAND
recCC2qbVHRMW1H1f,24434547,"Sjuksköterska Specialist Psykiatriskt Omvårdnads Team, Örnsköldsvik","Sjuksköterska, psykiatrisk vård","Sjuksköterska Specialist Psykiatriskt Omvårdnads Team, Örnsköldsvik",Region Västernorrland,REGION VÄSTERNORRLAND
recCJYxwFcaCTVzaz,24419400,"Lärare i Samhällsorienterade ämnen till Näldens skola, Jämtland","Lärare i grundskolan, årskurs 4-6","Lärare i Samhällsorienterade ämnen till Näldens skola, Jämtland",KROKOMS KOMMUN,Krokoms kommun
recCVYay5yUraE7wT,24426635,Speciallärare till Bobergsgymnasiet,Speciallärare,Speciallärare till Bobergsgymnasiet,Ånge kommun,Ånge kommun
recCkxNvONwe5elsu,24441452,"ST-läkare till Kvinnosjukvården, Östersunds sjukhus",ST-läkare,"ST-läkare till Kvinnosjukvården, Östersunds sjukhus","Region Jämtland Härjedalen, Område Kvinna",REGION JÄMTLAND HÄRJEDALEN
recCnqvaLCcLGIqzh,24411810,"Farmaceut till Läkemedelsenheten, Region Västernorrland",Farmaceut/Receptarie,"Farmaceut till Läkemedelsenheten, Region Västernorrland",Region Västernorrland,REGION VÄSTERNORRLAND
recCo4RF9cACIw8FF,24401957,Säljare med förbokade kunder i Höör. Fast lön plus provision,Hemförsäljare,Säljare med förbokade kunder i Höör. Fast lön plus provision,Wet World Energy Solutions AB,Wet World Energy Solutions AB
recCqbGDipRHky0Vg,24436153,Överläkare till ÖNH Västernorrland,Läkare,Överläkare till ÖNH Västernorrland,Region Västernorrland,REGION VÄSTERNORRLAND
recCtDK9tzndoMf2B,24419716,Undersköterskor välkomnas till akutmottagningen sommaren 2021!,"Undersköterska, vård- o specialavd. o mottagning",Undersköterskor välkomnas till akutmottagningen sommaren 2021!,Område Akutvård,REGION JÄMTLAND HÄRJEDALEN
recCtaK5yGrzABRNX,24417547,"Sjuksköterska till Kirurgmottagningen, Sundsvall","Sjuksköterska, grundutbildad","Sjuksköterska till Kirurgmottagningen, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
recCzU869ZNDYuuVN,24390004,Sköterskor sökes till Sveg för antikroppstestning av Covid-19,"Undersköterska, hemtjänst och äldreboende",Sköterskor sökes till Sveg för antikroppstestning av Covid-19,Vaccina,Vaccina AB
recD9cFY0Kq49WIAn,24448370,Leg. Läkare sökes till bemanningsuppdrag,Läkare,Leg. Läkare sökes till bemanningsuppdrag,Viva Bemanning - Sundsvall,Viva Bemanning AB
recDAPhkB5pPl56ae,24420224,"Sjuksköterska till Onkologi avd 13, Sundsvall","Sjuksköterska, grundutbildad","Sjuksköterska till Onkologi avd 13, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
recDDIHVXQoSkd4au,24417435,"Sjuksköterska sommarvikariat Kardiologen avd 16 och GNR avd 17, Sollefteå","Sjuksköterska, grundutbildad","Sjuksköterska sommarvikariat Kardiologen avd 16 och GNR avd 17, Sollefteå",Region Västernorrland,REGION VÄSTERNORRLAND
recDHqvti5LpOzZlN,24276221,Hamrestugan Duved/Åre söker förstärkning till köket inför vintern,"Kock, à la carte",Hamrestugan Duved/Åre söker förstärkning till köket inför vintern,Hamrestugan Burgers & Beer,WMM Gastronomi AB
recDjmD9n3KVbt4JJ,24420555,Säljare till Berners i Sundsvall,Innesäljare,Säljare till Berners i Sundsvall,Stegra Rekrytering AB,Stegra Rekrytering AB
recDo5rl4jPsvCbd9,24435258,Utvecklare/”Junior Developer”,Systemutvecklare/Programmerare,Utvecklare/”Junior Developer”,Iron Mountain/Recall Sweden AB (Östersund),OnePartnerGroup Jämtland AB
recDpgI4dJgYMj9cP,24432288,"Röntgensjuksköterska till Röntgenmottagningen, Sollefteå",Röntgensjuksköterska,"Röntgensjuksköterska till Röntgenmottagningen, Sollefteå",Region Västernorrland,REGION VÄSTERNORRLAND
recDs9urdrIgy5HzO,24429979,"Sjuksköterska till Akutmottagningen, Örnsköldsvik","Sjuksköterska, grundutbildad","Sjuksköterska till Akutmottagningen, Örnsköldsvik",Region Västernorrland,REGION VÄSTERNORRLAND
recDz5MtmHH78y2U7,24425417,Sjuksköterskor,"Sjuksköterska, grundutbildad",Sjuksköterskor,"Bräcke kommun, Vård- och omsorgsavdelningen",Bräcke kommun
recE51pBmcPoj7zBu,24395950,Sjuksköterskor till äldreomsorgen i Jämtland!,"Sjuksköterska, grundutbildad",Sjuksköterskor till äldreomsorgen i Jämtland!,Stellacura AB,StellaCura AB
recEF8wAwJAunvPQO,24439141,Vill du göra skillnad och hjälpa 1000-tals företag på Internet?,Kundtjänstmedarbetare,Vill du göra skillnad och hjälpa 1000-tals företag på Internet?,Webbkonsulterna i Jämtland AB,Webbkonsulterna i Jämtland AB
recEL7U248pB2w1C5,24424194,Personlig assistent för extrajobb sökes till kvinna utanför Östersund!,Personlig assistent,Personlig assistent för extrajobb sökes till kvinna utanför Östersund!,Humana AB,Humana AB
recEV44LUQSC3auFQ,24424210,Kock till Kostenheten,"Kock, storhushåll",Kock till Kostenheten,Härnösands Kommun,Härnösands kommun
recEa34tTwMMrpG8I,24334393,Distanslärare till Arena Utbildning,Lärare i gymnasiet,Distanslärare till Arena Utbildning,Arena Utbildning Östersund,Svensk Vård & Kompetensutveckling i Stockholm AB
recEc6iyo0nzDDHAL,24427396,ST-läkare geriatrik Sundsvall,Läkare,ST-läkare geriatrik Sundsvall,Region Västernorrland,REGION VÄSTERNORRLAND
recEl7hwiOFtVKNRV,24420371,"Verksamhetsanalytiker, Region Västernorrland",Verksamhetsanalytiker,"Verksamhetsanalytiker, Region Västernorrland",Region Västernorrland,REGION VÄSTERNORRLAND
recErUq3H6vcf2HKn,24433983,Samverkanskoordinator till Kommunförbundet Västernorrland,VD-sekreterare,Samverkanskoordinator till Kommunförbundet Västernorrland,Randstad,Randstad AB
recEugrGMQeiPSIa8,24415952,CE-chaufförer sökes för start omgående!,Distributionsförare,CE-chaufförer sökes för start omgående!,Nordic Bemanning & Rekrytering Norr AB,Nordic BR Norr AB
recExBwQI1kkoDkco,24383329,"Account manager   (distrikt Sthlm, Mitt-Nord) ",Utesäljare,"Account manager   (distrikt Sthlm, Mitt-Nord) ",JURA SWEDEN AB,Jura Sweden AB
recEz5PSN7Rxhlzlk,24405984,Söker kockar till Tiki ,"Kock, à la carte",Söker kockar till Tiki ,Östersund Multichallenge AB,Östersund Multichallenge AB
recF8dy1DiZwEDhl0,24429045,"Specialistläkare Länsverksamhet Psykiatri, Härnösand",Specialistläkare,"Specialistläkare Länsverksamhet Psykiatri, Härnösand",Region Västernorrland,REGION VÄSTERNORRLAND
recFA3dFPuu9k4mWO,24438544,"Psykolog/ PTP psykolog till Vuxenpsykiatriska mottagningen, Sollefteå",Psykolog,"Psykolog/ PTP psykolog till Vuxenpsykiatriska mottagningen, Sollefteå",Region Västernorrland,REGION VÄSTERNORRLAND
recFLlpbLcOSNq303,24445154,Vi söker nya kollegor till Com Hem/Boxers säljande kundtjänst,Kundtjänstmedarbetare,Vi söker nya kollegor till Com Hem/Boxers säljande kundtjänst,Webhelp Sweden,Webhelp Sweden AB
recFVq9MPJjOE4pI5,24440189,Bräcke hälsocentral söker en sjuksköterska/distriktssköterska,Distriktssköterska,Bräcke hälsocentral söker en sjuksköterska/distriktssköterska,Region Jämtland Härjedalen,REGION JÄMTLAND HÄRJEDALEN
recFakUTkT0D3P0jl,24428372,Undersköterskor sökes till Sundsvall,"Undersköterska, hemtjänst och äldreboende",Undersköterskor sökes till Sundsvall,Svea Work AB,Svea Work AB
recFcbsY3ILKKfRb3,24423333,Stödassistent,Stödassistent,Stödassistent,Östersunds kommun,Östersunds kommun
recFruYd6ZlfIGWyF,24450544,Psykiatrisjuksköterska med teamledaruppdrag,"Sjuksköterska, psykiatrisk vård",Psykiatrisjuksköterska med teamledaruppdrag,"Region Jämtland Härjedalen, Område Psykiatri",REGION JÄMTLAND HÄRJEDALEN
recFspzAY8atUXA33,24434943,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Kundtjänstmedarbetare,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Webhelp Sweden AB,Webhelp Sweden AB
recFxbnonO4QaNs8t,24411491,Vi söker administrativ assistent till NÄVA - Närvårdsavdelning i Strömsund,Administrativ assistent,Vi söker administrativ assistent till NÄVA - Närvårdsavdelning i Strömsund,"Region Jämtland Härjedalen, NÄVA (Närvårdsavdelning)",REGION JÄMTLAND HÄRJEDALEN
recFyBvMWT6q2Pb3z,24347857,C/C++ utvecklare till Cybercom Östersund,Systemutvecklare/Programmerare,C/C++ utvecklare till Cybercom Östersund,Cybercom Sweden & Denmark,Cybercom Sweden AB
recGA1aUGWYwLuPwF,24438415,Vill du utvecklas inom service och försäljning? Sök jobb inom kundtjänst!,Kundtjänstmedarbetare,Vill du utvecklas inom service och försäljning? Sök jobb inom kundtjänst!,StudentConsulting,Studentconsulting Sweden AB (Publ)
recGDfiNOhjdeAeb6,24431363,Lyhörd och engagerad Kundrådgivare/Representant till Fonus Östersund,Begravningsrådgivare,Lyhörd och engagerad Kundrådgivare/Representant till Fonus Östersund,Fonus,"Fonus, Ekonomisk Fören"
recGVGtnwj5Un5j2m,24446188,Kommunikatör till Savedesk på Tele2,Kundtjänstmedarbetare,Kommunikatör till Savedesk på Tele2,StudentConsulting,Studentconsulting Sweden AB (Publ)
recGVNHzwYM15ZymS,24437921,Lärare i Svenska och Engelska,Lärare i gymnasiet,Lärare i Svenska och Engelska,Nordic Recruitment Solutions AB,Karriären Sverige AB
recGgf5fRGUZ0HD0y,24450544,Psykiatrisjuksköterska med teamledaruppdrag,"Sjuksköterska, psykiatrisk vård",Psykiatrisjuksköterska med teamledaruppdrag,"Region Jämtland Härjedalen, Område Psykiatri",REGION JÄMTLAND HÄRJEDALEN
recGgzBUhaReTmW8i,24435537,Nu söker vi fastighetsskötare,Fastighetsskötare/Fastighetsarbetare,Nu söker vi fastighetsskötare,Onepartnergroup Jämtland AB,OnePartnerGroup Jämtland AB
recGjPJ43UiBbHbHo,24411824,"Farmaceut till Läkemedelsenheten, Region Västernorrland",Farmaceut/Receptarie,"Farmaceut till Läkemedelsenheten, Region Västernorrland",Region Västernorrland,REGION VÄSTERNORRLAND
recGxa4v1iAny85It,24409783,Överläkare till länsverksamhet Kvinnosjukvård Örnsköldsvik,Läkare,Överläkare till länsverksamhet Kvinnosjukvård Örnsköldsvik,Region Västernorrland,REGION VÄSTERNORRLAND
recH19ZVjUw93yjiR,24283053,Ambulanssjukvården Västernorrland söker sjuksköterskor till vikariat,Ambulanssjuksköterska,Ambulanssjukvården Västernorrland söker sjuksköterskor till vikariat,Region Västernorrland,REGION VÄSTERNORRLAND
recH1oXMg3HvqBZDE,24409631,"Sjuksköterska till  Hematologi avd 2, Sundsvall","Sjuksköterska, grundutbildad","Sjuksköterska till  Hematologi avd 2, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
recHD6UDp6FYbhsT3,24391125,Regionjurist alt. jurist till Region Västernorrland,Landstingsjurist,Regionjurist alt. jurist till Region Västernorrland,Region Västernorrland,REGION VÄSTERNORRLAND
recHEZfqraq7a3Lwb,24327554,Vi välkomnar vikarier till ambulanssjukvården sommaren 2021!,"Sjuksköterska, grundutbildad",Vi välkomnar vikarier till ambulanssjukvården sommaren 2021!,Område Akutvård,REGION JÄMTLAND HÄRJEDALEN
recHT0DhSnlUV1o7k,24402120,Säljare i Sundsvall med förbokade kundmöten,Hemförsäljare,Säljare i Sundsvall med förbokade kundmöten,Clean cloud AB,Clean cloud AB
recHhXIijcr0dKrdg,24417348,Individ- och familjeomsorgen i Ragunda söker socionom 100 %,Socionom,Individ- och familjeomsorgen i Ragunda söker socionom 100 %,"Ragunda kommun, IFO",Ragunda kommun
recHn6GotTDQdnH3a,24445742,"Säljare Region Nord – Västerbotten, Västernorrland och Jämtland",Account manager,"Säljare Region Nord – Västerbotten, Västernorrland och Jämtland",Ramudden AB,Ramudden AB
recHoiHCyXVY0ehRR,24368675,Intresseanmälan under Covid-19 för tillfälligt arbete som undersköterska,"Undersköterska, vård- o specialavd. o mottagning",Intresseanmälan under Covid-19 för tillfälligt arbete som undersköterska,Region Västernorrland,REGION VÄSTERNORRLAND
recHuh46oag7f2Tgy,24440680,Säljare på distans #jobbjustnu,Telefonförsäljare,Säljare på distans #jobbjustnu,KS,Eco Skydd Sverige AB
recHzTICZaCJlDFFJ,24420662,Säljare till Fazer,Utesäljare,Säljare till Fazer,Adecco Sweden AB,Adecco Sweden AB
recI0cEWk10UeGwfY,24445824,Specialistläkare/överläkare till ÄlSa-team Sollefteå,Läkare,Specialistläkare/överläkare till ÄlSa-team Sollefteå,Region Västernorrland,REGION VÄSTERNORRLAND
recI3sVYboCh3rsPD,24202055,Kock,"Kock, à la carte",Kock,The Bishops Arms,Bishop Scandinavia AB
recI4snFWTNwvXJlJ,24431882,Projektledare/verksamhetsutvecklare till E-hälsocentrum och IoT Sverige ,IT-strateg,Projektledare/verksamhetsutvecklare till E-hälsocentrum och IoT Sverige ,"Region Jämtland Härjedalen, Regionstaben",REGION JÄMTLAND HÄRJEDALEN
recI9Kw8kCfV7HWEV,24394871,"Sjuksköterskor till Ortopedavdelningen, Örnsköldsvik","Sjuksköterska, grundutbildad","Sjuksköterskor till Ortopedavdelningen, Örnsköldsvik",Region Västernorrland,REGION VÄSTERNORRLAND
recIBN57Aj9DEr7C6,24412217,"Undersköterska, sommarvikariat, Kirurgisk akutvårdsavdelning, Sundsvall","Undersköterska, vård- o specialavd. o mottagning","Undersköterska, sommarvikariat, Kirurgisk akutvårdsavdelning, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
recIGl3mcSFYAiz3b,24448068,Undersköterska sökes för välbetalda uppdrag! ,"Undersköterska, hemtjänst och äldreboende",Undersköterska sökes för välbetalda uppdrag! ,Viva Bemanning - Sundsvall,Viva Bemanning AB
recINTxCIoBBkkNTc,24322585,Klima-Therm AB söker via LENZO en Teknisk Säljare till Norra Sverige,Utesäljare,Klima-Therm AB söker via LENZO en Teknisk Säljare till Norra Sverige,Klima Therm AB,LENZO Utveckling & Rekrytering AB
recIQJmsgoxF69M5D,24413989,Vi söker fantastiska assistenter som vill utvecklas med oss!,Personlig assistent,Vi söker fantastiska assistenter som vill utvecklas med oss!,Särnmark Assistans AB,Särnmark Assistans AB
recIbl7khztndPWFJ,24450125,Kundtjänstmedarbetare / Kundservice / Customer Support,Kundtjänstmedarbetare,Kundtjänstmedarbetare / Kundservice / Customer Support,Bravura,Bravura Sverige AB
recIopyamQi6mSHdd,24376192,Specialistläkare till Barn- och ungdomspsykiatrisk verksamhet,Specialistläkare,Specialistläkare till Barn- och ungdomspsykiatrisk verksamhet,"Region Jämtland Härjedalen, Område Barn och unga vuxna",REGION JÄMTLAND HÄRJEDALEN
recIuJHLiZsZVZcSw,24437280,"Psykolog till Neuropsykiatriska affektiva mottagningen, Sundsvall",Psykolog,"Psykolog till Neuropsykiatriska affektiva mottagningen, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
recIz9s7vybJUFy6V,24414395,Serviceinriktad kundkoordinator till Tibnor!,Kundtjänstmedarbetare,Serviceinriktad kundkoordinator till Tibnor!,Academic Work,Academic Work Sweden AB
recJ1y7q0mi3VlhY2,24436042,Dags att ta nästa steg inom javautveckling?,Systemutvecklare/Programmerare,Dags att ta nästa steg inom javautveckling?,Alten Sverige AB,Alten Sverige AB
recJ4JPekruY8u4T5,24445706,"Säljare Region Nord – Västerbotten, Västernorrland och Jämtland",Account manager,"Säljare Region Nord – Västerbotten, Västernorrland och Jämtland",Ramudden AB,Ramudden AB
recJ8dfhNxv4mg69Z,24435258,Utvecklare/”Junior Developer”,Systemutvecklare/Programmerare,Utvecklare/”Junior Developer”,Iron Mountain/Recall Sweden AB (Östersund),OnePartnerGroup Jämtland AB
recJ9dynj2wi8Mw8E,24411293,Sjuksköterska sökes för bemanningsuppdrag 2021 ,"Sjuksköterska, grundutbildad",Sjuksköterska sökes för bemanningsuppdrag 2021 ,Viva Bemanning - Härnösand,Viva Bemanning AB
recJPlRQEqxsIAjtg,24438099,"Sjuksköterska till Akutmottagningen, Sollefteå","Sjuksköterska, grundutbildad","Sjuksköterska till Akutmottagningen, Sollefteå",Region Västernorrland,REGION VÄSTERNORRLAND
recJUjo80CTwNmrJ6,24391103,Regionjurist alt. jurist till Region Västernorrland,Landstingsjurist,Regionjurist alt. jurist till Region Västernorrland,Region Västernorrland,REGION VÄSTERNORRLAND
recJfVVrBk2VDhS2Y,24388905,First line supportmedarbetare till Fujitsu,Helpdesktekniker/Supporttekniker,First line supportmedarbetare till Fujitsu,OnePartnerGroup Jämtland,OnePartnerGroup Jämtland AB
recJkl5BCHkmeeOTs,24427700,Sveriges bästa sjuksköterska sökes,"Sjuksköterska, grundutbildad",Sveriges bästa sjuksköterska sökes,Magnifiq Kompetens,Palmelind Konsult AB
recJpS198OAWYkgE4,24448436,Senior utvecklare,Mjukvaruutvecklare,Senior utvecklare,Myndigheten för digital förvaltning,Myndigheten För Digital Förvaltning
recJqXOSUirfFr9uz,24440748,Kommunikatör till Savedesk på Tele2,Kundtjänstmedarbetare,Kommunikatör till Savedesk på Tele2,StudentConsulting,Studentconsulting Sweden AB (Publ)
recJrufJs39LvUmDk,24420006,Vi välkomnar sjuksköterskor till akutmottagningen sommaren 2021!,"Sjuksköterska, grundutbildad",Vi välkomnar sjuksköterskor till akutmottagningen sommaren 2021!,Område Akutvård,REGION JÄMTLAND HÄRJEDALEN
recJxRq3phaJLE4ME,24415844,Tävlingsmänniska? Abonnenta söker taggade Eventsäljare!,Eventsäljare/Eventförsäljare,Tävlingsmänniska? Abonnenta söker taggade Eventsäljare!,Abonnenta AB,A 95 Consulting AB
recKKWF05wIx225mw,24438131,Operationssjuksköterska till konsultuppdrag,"Sjuksköterska, grundutbildad",Operationssjuksköterska till konsultuppdrag,Magnifiq Kompetens,Palmelind Konsult AB
recKOjMh6wNCd5A3d,24404150,Undersköterska till Myrans SÄBO Östersund,"Undersköterska, hemtjänst och äldreboende",Undersköterska till Myrans SÄBO Östersund,Vardaga,Vardaga AB
recKPqmnMXShgo3MD,24449742,Distriktsläkare till Funäsdalens Hälsocentral,Specialistläkare,Distriktsläkare till Funäsdalens Hälsocentral,"Region Jämtland Härjedalen, VO Härjedalen",REGION JÄMTLAND HÄRJEDALEN
recKW7bwhEUVEyyhj,24449339,Bredbandssamordnare till kollektivtrafik och infrastruktur,Administrativ assistent,Bredbandssamordnare till kollektivtrafik och infrastruktur,Region Västernorrland,REGION VÄSTERNORRLAND
recKaViRrvbydZpyr,24440673,Säljare på distans #jobbjustnu,Telefonförsäljare,Säljare på distans #jobbjustnu,KS,Eco Skydd Sverige AB
recKjvYgVdZB2yw9i,24445058,Dagtidstjänst på 85% som personlig assistent,Personlig assistent,Dagtidstjänst på 85% som personlig assistent,Kooperativet Hand i Hand ekonomisk förening,Kooperativet Hand i Hand Ekonomisk Fören
recLFtJW43XHYGEZr,24402128,Säljare i Kramfors med förbokade kundmöten,Hemförsäljare,Säljare i Kramfors med förbokade kundmöten,Clean cloud AB,Clean cloud AB
recLTHKGzxxRWTM6J,24247463,Säljande distributör - vikarie till Östersund !,Distributionsförare,Säljande distributör - vikarie till Östersund !,Pågen AB,Pågen AB
recLcLBnUXGw8tnT6,24425787,"Biomedicinsk analytiker, semestervikariat Sundsvall",Biomedicinsk analytiker,"Biomedicinsk analytiker, semestervikariat Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
recLrev71cvlPg5Dg,24430080,Vattenfall Services rekryterar i Västernorrland och Jämtland!,"Linjemontör, elkraft",Vattenfall Services rekryterar i Västernorrland och Jämtland!,Hammarstrand,Vattenfall AB
recMV9xVMbDmRDRVx,24443182,Vikariat undersköterska till Lugnviks hälsocentral,"Undersköterska, vård- o specialavd. o mottagning",Vikariat undersköterska till Lugnviks hälsocentral,"Region Jämtland Härjedalen, VO Östersund ",REGION JÄMTLAND HÄRJEDALEN
recMYCP6wR25vF0Ef,24367229,Sjuksköterska till bemanningsuppdrag inom kommunal sjukvård i Östersund,"Sjuksköterska, grundutbildad",Sjuksköterska till bemanningsuppdrag inom kommunal sjukvård i Östersund,BONLIVA AB,Bonliva AB
recMafU5eEbbLCQ27,24282964,Ambulanssjukvården Västernorrland söker sjuksköterskor till vikariat,Ambulanssjuksköterska,Ambulanssjukvården Västernorrland söker sjuksköterskor till vikariat,Region Västernorrland,REGION VÄSTERNORRLAND
recMf6JEAIy051D3j,24446052,PwC söker revisionsassistent!,Revisionsbiträde,PwC söker revisionsassistent!,Adecco Sweden AB,Adecco Sweden AB
recMgvXDHotHwipN0,24430100,"Sjuksköterska till kirurgisk vårdavdelning 15B, Sundsvall","Sjuksköterska, grundutbildad","Sjuksköterska till kirurgisk vårdavdelning 15B, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
recMi86w8xkt91V2r,24322641,Klima-Therm AB söker via LENZO en Teknisk Säljare till Norra Sverige,Utesäljare,Klima-Therm AB söker via LENZO en Teknisk Säljare till Norra Sverige,Klima Therm (Örnsköldsvik ),LENZO Utveckling & Rekrytering AB
recMpIBTs114tQTug,24440467,Vi söker två sjuksköterskor till Funäsdalens & Svegs Hälsocentraler,"Sjuksköterska, grundutbildad",Vi söker två sjuksköterskor till Funäsdalens & Svegs Hälsocentraler,"Region Jämtland Härjedalen, VO Härjedalen",REGION JÄMTLAND HÄRJEDALEN
recMvLDhaR8m8KMCP,24367217,Sjuksköterska till bemanningsuppdrag inom kommunal sjukvård i Örnsköldsvik,"Sjuksköterska, grundutbildad",Sjuksköterska till bemanningsuppdrag inom kommunal sjukvård i Örnsköldsvik,BONLIVA AB,Bonliva AB
recN1gQ6vF3rfDIJA,24436861,Sjuksköterska till medicinavdelning,"Sjuksköterska, grundutbildad",Sjuksköterska till medicinavdelning,Magnifiq Kompetens,Palmelind Konsult AB
recNC3a1Ychj0NpjS,24415142,Te Crea Care söker sjuksköterskor till kommun,"Sjuksköterska, grundutbildad",Te Crea Care söker sjuksköterskor till kommun,Te Crea Care AB ,Te Crea Care AB
recNWebsHUOgAxIsY,24395950,Sjuksköterskor till äldreomsorgen i Jämtland!,"Sjuksköterska, grundutbildad",Sjuksköterskor till äldreomsorgen i Jämtland!,Stellacura AB,StellaCura AB
recNYYJOcl40D9AKT,24445034,Sjuksköterska till Medicinenheten,"Sjuksköterska, grundutbildad",Sjuksköterska till Medicinenheten,"Region Jämtland Härjedalen, Medicin",REGION JÄMTLAND HÄRJEDALEN
recNbrLnNoXq1FV9U,24401779,Säljare med förbokade kunder i Sala. Fast lön plus provision,Hemförsäljare,Säljare med förbokade kunder i Sala. Fast lön plus provision,Wet World Energy Solutions AB,Wet World Energy Solutions AB
recNgkGsbFKcJLlMe,24446709,Personlig assistent deltid till kille i tonåren,Personlig assistent,Personlig assistent deltid till kille i tonåren,Kura Omsorg,Kura Omsorg i Sverige AB
recNqgH3l1CZ5Klpf,24439203,"Undersköterska, sommarvikariat, Ortopedavdelning, Örnsköldsvik","Undersköterska, vård- o specialavd. o mottagning","Undersköterska, sommarvikariat, Ortopedavdelning, Örnsköldsvik",Region Västernorrland,REGION VÄSTERNORRLAND
recNuhSQIKvjasOWC,24421113,Semestervikarier till Äldreomsorgen,"Undersköterska, hemtjänst och äldreboende",Semestervikarier till Äldreomsorgen,"Sollefteå kommun, Äldreomsorg",Sollefteå kommun
recNv2I7OW2JFJYe4,24368673,Intresseanmälan under Covid-19 för tillfälligt arbete som undersköterska,"Undersköterska, vård- o specialavd. o mottagning",Intresseanmälan under Covid-19 för tillfälligt arbete som undersköterska,Region Västernorrland,REGION VÄSTERNORRLAND
recNwfW2KpuX9oAE1,24446632,Systemförvaltare,Systemförvaltare,Systemförvaltare,Region Västernorrland,REGION VÄSTERNORRLAND
recO23DdPRMm5oXEN,24401901,Säljare med förbokade kunder i Ystad. Fast lön plus provision,Hemförsäljare,Säljare med förbokade kunder i Ystad. Fast lön plus provision,Wet World Energy Solutions AB,Wet World Energy Solutions AB
recO8pgvSJ5Ys1a37,24449103,Inlandsbanan söker Ekonomichef,Ekonomichef,Inlandsbanan söker Ekonomichef,Inlandsbanan AB,OnePartnerGroup Jämtland AB
recODEOAtNaEkQf9h,24386433,"Barnsjuksköterska/ Sjuksköterska Neonatal avdelning 45, Sundsvall",Barnsjuksköterska,"Barnsjuksköterska/ Sjuksköterska Neonatal avdelning 45, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
recODiRR93W9LA7yI,24396462,"Sjuksköterska till Kardiologen Avd 1, Örnsköldsvik","Sjuksköterska, grundutbildad","Sjuksköterska till Kardiologen Avd 1, Örnsköldsvik",Region Västernorrland,REGION VÄSTERNORRLAND
recOE1jRb4lNACb2y,24432676,Specialistläkare till smärtenheten i Östersund,Specialistläkare,Specialistläkare till smärtenheten i Östersund,"Region Jämtland Härjedalen, Område Hjärta, neurologi och rehabilitering",REGION JÄMTLAND HÄRJEDALEN
recOKOwYVhrU4EYIE,24440126,Sommarjobb inom Folktandvården Västernorrland,Tandsköterska,Sommarjobb inom Folktandvården Västernorrland,Region Västernorrland,REGION VÄSTERNORRLAND
recOOLUsXMS8Jpygd,24412536,"Sjuksköterska för sommarvikariat till Kardiologen Avd 1, Örnsköldsvik","Sjuksköterska, grundutbildad","Sjuksköterska för sommarvikariat till Kardiologen Avd 1, Örnsköldsvik",Region Västernorrland,REGION VÄSTERNORRLAND
recOSQImYMoVieepZ,24420367,"Verksamhetsanalytiker, Region Västernorrland",Verksamhetsanalytiker,"Verksamhetsanalytiker, Region Västernorrland",Region Västernorrland,REGION VÄSTERNORRLAND
recOSfUAAqPqSE6Z0,24322655,Klima-Therm AB söker via LENZO en Teknisk Säljare till Norra Sverige,Utesäljare,Klima-Therm AB söker via LENZO en Teknisk Säljare till Norra Sverige,Klima-Therm AB (Umeå),LENZO Utveckling & Rekrytering AB
recOb7F6D4cmN8z2o,24368657,Intresseanmälan under Covid-19 för tillfälligt arbete som undersköterska,"Undersköterska, vård- o specialavd. o mottagning",Intresseanmälan under Covid-19 för tillfälligt arbete som undersköterska,Region Västernorrland,REGION VÄSTERNORRLAND
recOc9w4uByuTR2ou,24438123,Projektledare - utveckling av Västernorrlands besöksnäring,"Handläggare/Utredare, offentlig förvaltning",Projektledare - utveckling av Västernorrlands besöksnäring,Region Västernorrland,REGION VÄSTERNORRLAND
recOe2lhmU85qSN1Q,24368686,Intresseanmälan under Covid-19 för tillfälligt arbete som sjuksköterska,"Sjuksköterska, grundutbildad",Intresseanmälan under Covid-19 för tillfälligt arbete som sjuksköterska,Region Västernorrland,REGION VÄSTERNORRLAND
recOmHi3GZyWMpKAc,24414705,Undersköterska,"Undersköterska, hemtjänst och äldreboende",Undersköterska,Bergs kommun,Bergs kommun
recOuWUN6u4d2RsyT,24395937,Sjuksköterskor till äldreomsorgen i Västernorrland!,"Sjuksköterska, grundutbildad",Sjuksköterskor till äldreomsorgen i Västernorrland!,Stellacura AB,StellaCura AB
